souvenir famas | faulty wiring (minimal wear),0.19
chroma case,0.72
ump-45 | full stop (minimal wear),0.16
stattrak mp5-sd | condition zero (field-tested),0.23
tec-9 | sandstorm (field-tested),0.12
cz75-auto | syndicate (field-tested),0.36
sg 553 | cyrex (field-tested),4.37
usp-s | black lotus (minimal wear),0.73
mag-7 | bi83 spectrum (minimal wear),0.58
stattrak mp9 | mount fuji (minimal wear),4.21
desert eagle | directive (field-tested),0.28
mag-7 | bi83 spectrum (minimal wear),0.58
stattrak tec-9 | fubar (battle-scarred),0.11
mp9 | mount fuji (minimal wear),1.74
stattrak mp7 | guerrilla (minimal wear),0.41
mp9 | mount fuji (factory new),3.81
glock-18 | snack attack (field-tested),2.94
stattrak nova | wood fired (field-tested),0.11
stattrak desert eagle | light rail (minimal wear),5.2
ak-47 | uncharted (minimal wear),0.57
stattrak mp7 | mischief (battle-scarred),0.19
usp-s | black lotus (minimal wear),0.73
m4a4 | spider lily (field-tested),0.93
ump-45 | oscillator (minimal wear),0.28
mac-10 | button masher (well-worn),0.24
m249 | gator mesh (battle-scarred),0.11
mac-10 | whitefish (factory new),0.61
m4a1-s | boreal forest (well-worn),0.14
xm1014 | slipstream (factory new),0.18
awp | capillary (field-tested),0.15
nova | wild six (minimal wear),0.43
sealed graffiti | happy cat (bazooka pink),0.17
sealed graffiti | goofy (violent violet),0.13
sealed graffiti | question mark (monarch blue),0.11
sealed graffiti | 1g (violent violet),0.1
sealed graffiti | boom (swat blue),0.12
sealed graffiti | dizzy (bazooka pink),0.13
pp-bizon | seabird (field-tested),0.8
sealed graffiti | little ez (blood red),0.11
sealed graffiti | shining star (violent violet),0.18
sealed graffiti | boom (shark white),0.17
sealed graffiti | smarmy (wire blue),0.22
sealed graffiti | rly (brick red),0.12
sealed graffiti | beep (bazooka pink),0.11
sealed graffiti | fart (war pig pink),0.17
sealed graffiti | rly (blood red),0.21
sealed graffiti | 1g (violent violet),0.1
sealed graffiti | broken heart (desert amber),0.16
sealed graffiti | 1g (blood red),0.12
sealed graffiti | broken heart (tracer yellow),0.17
sealed graffiti | smarmy (wire blue),0.22
sealed graffiti | smarmy (monster purple),0.31
sealed graffiti | little bock (swat blue),0.11
sealed graffiti | shining star (monarch blue),0.12
sealed graffiti | broken heart (violent violet),0.22
sealed graffiti | goofy (battle green),0.11
sealed graffiti | boom (monster purple),0.16
sealed graffiti | question mark (blood red),0.21
sealed graffiti | goofy (brick red),0.12
sealed graffiti | fart (monster purple),0.2
sealed graffiti | smarmy (cash green),0.24
sealed graffiti | question mark (jungle green),0.12
sealed graffiti | boom (battle green),0.11
sealed graffiti | dizzy (bazooka pink),0.13
sealed graffiti | little ez (blood red),0.11
sealed graffiti | omg (monster purple),0.13
dual berettas | shred (minimal wear),0.21
sealed graffiti | kiss (tiger orange),0.15
sealed graffiti | boom (wire blue),0.13
tec-9 | varicamo (field-tested),0.14
blackwolf | sabre,1.1
sergeant bombson | swat,1.19
awp | worm god (factory new),1.89
famas | zx spectron (minimal wear),1.33
m4a1-s | nitro (minimal wear),4.55
nova | windblown (field-tested),0.15
awp | hyper beast (field-tested),34.02
m4a4 | cyber security (battle-scarred),4.89
ak-47 | baroque purple (field-tested),3.13
mp9 | airlock (well-worn),1.72
mp9 | airlock (well-worn),1.72
mp9 | airlock (well-worn),1.72
mp9 | airlock (well-worn),1.72
gut knife | tiger tooth (factory new),140.38
sticker | hello awp,0.14
sticker | hello awp,0.14
mp9 | mount fuji (field-tested),0.4
stattrak usp-s | black lotus (minimal wear),4.53
stattrak glock-18 | snack attack (battle-scarred),5.88
bayonet | rust coat (battle-scarred),202.09
usp-s | cortex (minimal wear),5.02
stattrak aug | tom cat (field-tested),0.13
awp | corticera (minimal wear),12.6
galil ar | stone cold (minimal wear),2.29
mac-10 | disco tech (well-worn),2.36
sir bloody loudmouth darryl | the professionals,9.3
chroma 3 case,0.16
mp7 | bloodsport (field-tested),2.26
osiris | elite crew,0.37
ground rebel  | elite crew,0.31
ground rebel  | elite crew,0.31
ground rebel  | elite crew,0.31
negev | power loader (field-tested),1.24
glock-18 | gamma doppler (minimal wear),15.46
shadow daggers | tiger tooth (factory new),137.83
stattrak mac-10 | lapis gator (factory new),1.44
stattrak ssg 08 | parallax (minimal wear),3.48
glock-18 | clear polymer (factory new),0.81
mp5-sd | kitbash (field-tested),0.41
ak-47 | slate (battle-scarred),4.73
souvenir glock-18 | night (minimal wear),2.26
stattrak p2000 | gnarled (factory new),1.32
stattrak five-seven | copper galaxy (minimal wear),8.64
stattrak glock-18 | steel disruption (field-tested),3.87
m4a4 | converter (factory new),1.27
awp | atheris (battle-scarred),1.59
ssg 08 | ghost crusader (field-tested),0.37
desert eagle | trigger discipline (battle-scarred),0.49
glock-18 | red tire (minimal wear),0.66
glock-18 | red tire (field-tested),0.58
awp | phobos (factory new),1.77
usp-s | neo-noir (field-tested),19.46
stattrak ak-47 | neon revolution (battle-scarred),35.49
five-seven | angry mob (battle-scarred),3.25
awp | hyper beast (battle-scarred),20.06
spectrum case,0.57
famas | roll cage (field-tested),3.09
mp9 | airlock (field-tested),1.84
galil ar | kami (field-tested),0.51
stattrak aug | aristocrat (field-tested),1.13
stattrak sawed-off | origami (field-tested),0.18
mag-7 | swag-7 (field-tested),0.25
m4a4 | urban ddpat (minimal wear),0.23
five-seven | urban hazard (field-tested),0.39
desert eagle | trigger discipline (minimal wear),2.36
stattrak mp5-sd | desert strike (minimal wear),0.24
stattrak glock-18 | off world (field-tested),0.33
ump-45 | grand prix (field-tested),0.25
stattrak galil ar | firefight (minimal wear),1.56
stattrak five-seven | scumbria (minimal wear),0.23
ak-47 | blue laminate (field-tested),7.76
stockholm 2021 legends sticker capsule,0.28
nova | candy apple (factory new),0.16
pp-bizon | candy apple (factory new),0.16
nova | candy apple (factory new),0.16
ak-47 | frontside misty (battle-scarred),12.84
mag-7 | heat (minimal wear),0.54
p250 | x-ray (factory new),0.59
negev | dev_texture (field-tested),0.25
stattrak sg 553 | darkwing (battle-scarred),0.8
p2000 | space race (field-tested),0.38
glock-18 | water elemental (minimal wear),5.42
famas | djinn (battle-scarred),1.94
mp9 | food chain (well-worn),1.86
dual berettas | cobalt quartz (field-tested),0.16
dual berettas | cobalt quartz (field-tested),0.16
dual berettas | cobalt quartz (field-tested),0.16
dual berettas | cobalt quartz (field-tested),0.16
tec-9 | red quartz (field-tested),0.15
tec-9 | red quartz (field-tested),0.15
tec-9 | red quartz (field-tested),0.15
tec-9 | red quartz (field-tested),0.15
stattrak tec-9 | sandstorm (well-worn),0.5
desert eagle | oxide blaze (minimal wear),0.18
usp-s | flashback (field-tested),0.45
stattrak usp-s | black lotus (battle-scarred),1.83
stattrak glock-18 | water elemental (minimal wear),21.67
usp-s | the traitor (well-worn),21.09
stattrak awp | asiimov (battle-scarred),134.39
stattrak ak-47 | neon revolution (battle-scarred),35.49
stattrak ak-47 | phantom disruptor (minimal wear),25.56
desert eagle | printstream (well-worn),58.35
stattrak m4a1-s | player two (battle-scarred),36.48
galil ar | chromatic aberration (factory new),10.13
stattrak m4a4 | cyber security (minimal wear),24.32
stattrak m4a4 | cyber security (minimal wear),24.32
m4a1-s | control panel (minimal wear),21.14
stattrak awp | asiimov (battle-scarred),134.39
ak-47 | jaguar (field-tested),23.96
gut knife | blue steel (well-worn),87.59
usp-s | the traitor (well-worn),21.09
mac-10 | neon rider (well-worn),7.01
ak-47 | case hardened (well-worn),102.32
famas | night borre (factory new),1.72
ak-47 | aquamarine revenge (factory new),70.07
operation riptide case,0.55
sawed-off | snake camo (battle-scarred),0.11
falchion knife | forest ddpat (field-tested),82.85
stiletto knife | forest ddpat (field-tested),104.08
desert eagle | crimson web (field-tested),4.96
glock-18 | candy apple (field-tested),0.81
ak-47 | slate (well-worn),4.78
souvenir usp-s | purple ddpat (battle-scarred),2.83
p250 | muertos (minimal wear),4.95
stattrak cz75-auto | crimson web (field-tested),1.14
awp | acheron (factory new),3.47
ak-47 | elite build (minimal wear),2.13
stattrak glock-18 | ironwork (well-worn),0.28
ak-47 | slate (field-tested),5.67
m4a1-s | fizzy pop (factory new),1.19
awp | asiimov (well-worn),85.0
ak-47 | phantom disruptor (battle-scarred),6.5
stattrak awp | fever dream (well-worn),17.24
brigadier general pin,15.28
m4a4 | neo-noir (well-worn),5.74
ak-47 | uncharted (battle-scarred),0.4
desert eagle | meteorite (factory new),2.2
glock-18 | candy apple (minimal wear),1.12
sticker | team spirit (gold) | stockholm 2021,7.85
mp7 | guerrilla (minimal wear),0.14
r8 revolver | junk yard (minimal wear),0.26
p90 | asiimov (battle-scarred),5.68
survival knife | forest ddpat (battle-scarred),87.64
b squadron officer | sas,0.9
bloody darryl the strapped | the professionals,3.8
desert eagle | light rail (battle-scarred),0.47
ssg 08 | dragonfire (field-tested),10.97
awp | pit viper (field-tested),0.3
aug | amber slipstream (minimal wear),0.18
famas | survivor z (minimal wear),0.28
ump-45 | carbon fiber (factory new),0.2
galil ar | chatterbox (battle-scarred),5.3
m4a1-s | hyper beast (field-tested),22.45
stockholm 2021 vertigo souvenir package,3.89
