'blueberries' buckshot | nswc seal,1.2566
'medium rare' crasswater | guerrilla warfare,4.8822
'the doctor' romanov | sabre,2.3587
'two times' mccoy | tacp cavalry,0.7313
'two times' mccoy | usaf tacp,0.7416
1st lieutenant farlow | swat,1.2978
2021 community sticker capsule,1.2051
3rd commando company | ksk,1.8643
ak-47 | aquamarine revenge (battle-scarred),16.0062
ak-47 | aquamarine revenge (factory new),69.0615
ak-47 | aquamarine revenge (field-tested),25.8839
ak-47 | aquamarine revenge (minimal wear),41.4678
ak-47 | aquamarine revenge (well-worn),19.158
ak-47 | asiimov (battle-scarred),23.1441
ak-47 | asiimov (factory new),152.0177
ak-47 | asiimov (field-tested),25.9354
ak-47 | asiimov (minimal wear),46.0925
ak-47 | asiimov (well-worn),29.6846
ak-47 | baroque purple (battle-scarred),2.9046
ak-47 | baroque purple (factory new),8.7035
ak-47 | baroque purple (field-tested),3.1003
ak-47 | baroque purple (minimal wear),3.9861
ak-47 | baroque purple (well-worn),2.7604
ak-47 | black laminate (battle-scarred),18.9005
ak-47 | black laminate (field-tested),17.1495
ak-47 | black laminate (minimal wear),22.4231
ak-47 | black laminate (well-worn),18.6327
ak-47 | bloodsport (factory new),75.7771
ak-47 | bloodsport (field-tested),50.6142
ak-47 | bloodsport (minimal wear),61.8206
ak-47 | bloodsport (well-worn),49.955
ak-47 | blue laminate (factory new),10.4442
ak-47 | blue laminate (field-tested),7.4881
ak-47 | blue laminate (minimal wear),5.459
ak-47 | blue laminate (well-worn),9.4348
ak-47 | cartel (battle-scarred),6.3963
ak-47 | cartel (factory new),13.4827
ak-47 | cartel (field-tested),5.7577
ak-47 | cartel (minimal wear),7.0143
ak-47 | cartel (well-worn),8.3842
ak-47 | case hardened (battle-scarred),87.4779
ak-47 | case hardened (field-tested),118.5118
ak-47 | case hardened (well-worn),101.3314
ak-47 | elite build (battle-scarred),0.9888
ak-47 | elite build (factory new),5.6547
ak-47 | elite build (field-tested),1.3287
ak-47 | elite build (minimal wear),2.0291
ak-47 | elite build (well-worn),0.9991
ak-47 | emerald pinstripe (battle-scarred),5.4487
ak-47 | emerald pinstripe (factory new),17.4688
ak-47 | emerald pinstripe (field-tested),7.9413
ak-47 | emerald pinstripe (minimal wear),11.2579
ak-47 | emerald pinstripe (well-worn),6.5096
ak-47 | fire serpent (battle-scarred),400.361
ak-47 | fire serpent (field-tested),447.741
ak-47 | fire serpent (minimal wear),1040.506
ak-47 | fire serpent (well-worn),551.9667
ak-47 | first class (battle-scarred),33.1454
ak-47 | first class (factory new),60.8112
ak-47 | first class (field-tested),37.2963
ak-47 | first class (minimal wear),47.2976
ak-47 | first class (well-worn),30.9
ak-47 | frontside misty (battle-scarred),12.0407
ak-47 | frontside misty (factory new),41.8901
ak-47 | frontside misty (field-tested),12.9883
ak-47 | frontside misty (minimal wear),22.9175
ak-47 | frontside misty (well-worn),14.4303
ak-47 | fuel injector (battle-scarred),52.3034
ak-47 | fuel injector (factory new),223.6748
ak-47 | fuel injector (field-tested),98.571
ak-47 | fuel injector (minimal wear),129.3268
ak-47 | fuel injector (well-worn),68.0109
ak-47 | gold arabesque (field-tested),1396.165
ak-47 | green laminate (factory new),11.7935
ak-47 | green laminate (field-tested),8.1782
ak-47 | green laminate (minimal wear),8.7653
ak-47 | green laminate (well-worn),14.4097
ak-47 | hydroponic (factory new),1445.8316
ak-47 | hydroponic (field-tested),516.8437
ak-47 | hydroponic (minimal wear),1007.8138
ak-47 | jaguar (battle-scarred),19.4464
ak-47 | jaguar (factory new),91.1859
ak-47 | jaguar (field-tested),23.5664
ak-47 | jaguar (minimal wear),36.3384
ak-47 | jaguar (well-worn),20.6103
ak-47 | jet set (battle-scarred),113.6914
ak-47 | jet set (field-tested),129.6667
ak-47 | jet set (minimal wear),163.9348
ak-47 | jet set (well-worn),104.9879
ak-47 | jungle spray (battle-scarred),3.1518
ak-47 | jungle spray (field-tested),3.9861
ak-47 | jungle spray (minimal wear),8.8477
ak-47 | jungle spray (well-worn),3.9449
ak-47 | leet museo (battle-scarred),21.2489
ak-47 | leet museo (factory new),53.8175
ak-47 | leet museo (field-tested),24.102
ak-47 | leet museo (minimal wear),36.5444
ak-47 | leet museo (well-worn),23.5458
ak-47 | legion of anubis (battle-scarred),12.1437
ak-47 | legion of anubis (factory new),29.5198
ak-47 | legion of anubis (field-tested),14.3067
ak-47 | legion of anubis (minimal wear),20.0541
ak-47 | legion of anubis (well-worn),15.6045
ak-47 | neon revolution (battle-scarred),16.1195
ak-47 | neon revolution (factory new),42.745
ak-47 | neon revolution (field-tested),16.8302
ak-47 | neon revolution (minimal wear),24.3595
ak-47 | neon revolution (well-worn),21.9802
ak-47 | neon rider (battle-scarred),25.2762
ak-47 | neon rider (factory new),106.914
ak-47 | neon rider (field-tested),36.3178
ak-47 | neon rider (minimal wear),57.3813
ak-47 | neon rider (well-worn),40.6644
ak-47 | orbit mk01 (battle-scarred),9.9498
ak-47 | orbit mk01 (factory new),13.4209
ak-47 | orbit mk01 (field-tested),8.961
ak-47 | orbit mk01 (minimal wear),10.4442
ak-47 | orbit mk01 (well-worn),10.1043
ak-47 | panthera onca (battle-scarred),118.2749
ak-47 | panthera onca (factory new),360.9635
ak-47 | panthera onca (field-tested),184.0095
ak-47 | panthera onca (minimal wear),288.0704
ak-47 | panthera onca (well-worn),130.6761
ak-47 | phantom disruptor (battle-scarred),6.3654
ak-47 | phantom disruptor (factory new),12.6999
ak-47 | phantom disruptor (field-tested),5.7989
ak-47 | phantom disruptor (minimal wear),8.2503
ak-47 | phantom disruptor (well-worn),8.0134
ak-47 | point disarray (battle-scarred),12.4321
ak-47 | point disarray (factory new),30.4056
ak-47 | point disarray (field-tested),13.596
ak-47 | point disarray (minimal wear),20.3219
ak-47 | point disarray (well-worn),15.2131
ak-47 | predator (battle-scarred),8.9301
ak-47 | predator (factory new),25.8839
ak-47 | predator (field-tested),12.257
ak-47 | predator (minimal wear),13.7917
ak-47 | predator (well-worn),9.6202
ak-47 | rat rod (battle-scarred),3.4608
ak-47 | rat rod (factory new),8.6726
ak-47 | rat rod (field-tested),3.2857
ak-47 | rat rod (minimal wear),4.7895
ak-47 | rat rod (well-worn),3.4299
ak-47 | red laminate (battle-scarred),30.1275
ak-47 | red laminate (field-tested),19.2404
ak-47 | red laminate (minimal wear),35.9676
ak-47 | red laminate (well-worn),29.4992
ak-47 | redline (battle-scarred),9.2803
ak-47 | redline (field-tested),13.5445
ak-47 | redline (minimal wear),64.0454
ak-47 | redline (well-worn),13.5857
ak-47 | safari mesh (battle-scarred),0.1648
ak-47 | safari mesh (factory new),4.1406
ak-47 | safari mesh (field-tested),0.1339
ak-47 | safari mesh (minimal wear),0.5253
ak-47 | safari mesh (well-worn),0.2163
ak-47 | safety net (battle-scarred),5.3457
ak-47 | safety net (factory new),11.433
ak-47 | safety net (field-tested),5.3972
ak-47 | safety net (minimal wear),7.6323
ak-47 | safety net (well-worn),5.4075
